DOMINIO,UBIGEO,CONGLOME,VIVIENDA,HOGAR,TrabajaPerú,FACTOR07,TuvoTrabajo,Educacion,Sexo,Edad,Situación de Vulnerabilidad
Costa Norte,060418,016040,032,11,1,90.5339584350586,1,Secundaria Completa,Hombre,40,Vulnerable No Pobre
Costa Norte,060418,016040,032,11,1,90.5339584350586,1,Superior No Universitaria Completa,Mujer,34,Vulnerable No Pobre
Costa Norte,060418,016040,078,11,0,90.5339584350586,1,Primaria Completa,Hombre,87,Vulnerable No Pobre
Costa Norte,060418,016040,078,11,0,90.5339584350586,0,Sin Nivel,Mujer,76,Vulnerable No Pobre
Costa Norte,060418,016040,084,11,0,90.5339584350586,1,Primaria Completa,Hombre,71,Vulnerable No Pobre
Costa Norte,060418,016040,084,11,0,90.5339584350586,1,Secundaria Incompleta,Mujer,64,Vulnerable No Pobre
Costa Norte,060505,016041,014,11,0,93.906623840332,1,Primaria Completa,Hombre,61,Pobre No Extremo
Costa Norte,060505,016041,014,11,0,93.906623840332,0,Secundaria Incompleta,Mujer,62,Pobre No Extremo
Costa Norte,060505,016041,014,11,0,93.906623840332,1,Secundaria Completa,Hombre,30,Pobre No Extremo
Costa Norte,060505,016041,014,11,0,93.906623840332,1,Secundaria Completa,Hombre,24,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,93.906623840332,1,Secundaria Completa,Hombre,48,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,93.906623840332,1,Secundaria Incompleta,Mujer,44,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,93.906623840332,1,Superior No Universitaria Incompleta,Hombre,24,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,93.906623840332,0,Superior No Universitaria Incompleta,Mujer,21,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,93.906623840332,0,Superior No Universitaria Incompleta,Mujer,18,Pobre No Extremo
Costa Norte,060505,016041,073,11,0,93.906623840332,0,Primaria Completa,Hombre,84,Vulnerable No Pobre
Costa Norte,060505,016041,079,11,1,93.906623840332,1,Primaria Completa,Hombre,43,Vulnerable No Pobre
Costa Norte,060505,016041,079,11,1,93.906623840332,1,Primaria Completa,Mujer,36,Vulnerable No Pobre
Costa Norte,060505,016043,097,11,1,93.906623840332,1,Secundaria Completa,Hombre,31,Pobre Extremo
Costa Norte,060505,016043,097,11,1,93.906623840332,1,Primaria Completa,Mujer,30,Pobre Extremo
Costa Norte,060505,016043,097,11,1,93.906623840332,1,Secundaria Completa,Hombre,74,Pobre Extremo
Costa Norte,060505,016043,097,11,1,93.906623840332,1,Primaria Incompleta,Mujer,68,Pobre Extremo
Costa Norte,060505,016043,097,11,1,93.906623840332,0,Sin Nivel,Mujer,96,Pobre Extremo
Costa Norte,060505,016043,098,11,1,93.906623840332,1,Secundaria Completa,Hombre,33,Vulnerable No Pobre
Costa Norte,060505,016043,098,11,1,93.906623840332,1,Primaria Completa,Mujer,36,Vulnerable No Pobre
Costa Norte,060505,016043,099,11,0,93.906623840332,1,Primaria Incompleta,Mujer,91,Pobre No Extremo
Costa Norte,060505,016043,100,11,1,93.906623840332,1,Secundaria Incompleta,Hombre,32,Pobre Extremo
Costa Norte,060505,016043,100,11,1,93.906623840332,1,Secundaria Completa,Mujer,27,Pobre Extremo
Costa Norte,060505,016043,236,11,1,93.906623840332,1,Sin Nivel,Mujer,46,Pobre Extremo
Costa Norte,060505,016043,239,11,0,93.906623840332,1,Primaria Completa,Hombre,37,Pobre Extremo
Costa Norte,060505,016043,239,11,0,93.906623840332,1,Secundaria Completa,Mujer,37,Pobre Extremo
Costa Norte,060505,016043,240,11,0,93.906623840332,1,Primaria Incompleta,Mujer,54,Vulnerable No Pobre
Costa Norte,061110,016044,033,11,0,104.173187255859,1,Primaria Completa,Hombre,75,Pobre No Extremo
Costa Norte,061110,016044,033,11,0,104.173187255859,1,Secundaria Completa,Mujer,71,Pobre No Extremo
Costa Norte,061110,016044,034,11,0,104.173187255859,1,Secundaria Completa,Mujer,44,Vulnerable No Pobre
Costa Norte,061110,016044,035,11,0,104.173187255859,1,Secundaria Completa,Hombre,57,Vulnerable No Pobre
Costa Norte,061110,016044,035,11,0,104.173187255859,0,Primaria Incompleta,Hombre,89,Vulnerable No Pobre
Costa Norte,061110,016044,035,11,0,104.173187255859,1,Secundaria Completa,Hombre,49,Vulnerable No Pobre
Costa Norte,061110,016044,097,11,0,104.173187255859,0,Primaria Completa,Hombre,84,Vulnerable No Pobre
Costa Norte,061110,016044,097,11,0,104.173187255859,1,Primaria Incompleta,Mujer,77,Vulnerable No Pobre
Costa Norte,061110,016044,098,11,0,104.173187255859,1,Primaria Completa,Mujer,61,Pobre No Extremo
Costa Norte,061110,016044,099,11,0,104.173187255859,1,Sin Nivel,Hombre,65,Vulnerable No Pobre
Costa Norte,061110,016044,106,11,0,104.173187255859,1,Secundaria Completa,Mujer,30,Vulnerable No Pobre
Costa Norte,061305,016042,005,11,0,132.078247070313,1,Sin Nivel,Hombre,64,Vulnerable No Pobre
Costa Norte,061305,016042,005,11,0,132.078247070313,1,Primaria Completa,Mujer,65,Vulnerable No Pobre
Costa Norte,061305,016042,008,11,0,132.078247070313,1,Secundaria Completa,Hombre,39,Pobre No Extremo
Costa Norte,061305,016042,008,11,0,132.078247070313,1,Secundaria Completa,Mujer,28,Pobre No Extremo
Costa Norte,061305,016042,129,11,0,132.078247070313,1,Primaria Completa,Hombre,62,Vulnerable No Pobre
Costa Norte,061305,016042,129,11,0,132.078247070313,1,Primaria Completa,Mujer,57,Vulnerable No Pobre
Costa Norte,061305,016042,130,11,0,132.078247070313,1,Primaria Incompleta,Hombre,82,Vulnerable No Pobre
Costa Norte,061305,016042,130,11,0,132.078247070313,1,Sin Nivel,Mujer,79,Vulnerable No Pobre
Costa Norte,061305,016042,133,11,0,132.078247070313,1,Primaria Incompleta,Mujer,39,Vulnerable No Pobre
Costa Norte,061305,016042,133,11,0,132.078247070313,1,Secundaria Completa,Hombre,19,Vulnerable No Pobre
Costa Norte,061305,016042,134,11,0,132.078247070313,1,Sin Nivel,Hombre,94,Pobre Extremo
Costa Norte,061305,016042,134,11,0,132.078247070313,1,Sin Nivel,Mujer,71,Pobre Extremo
Costa Norte,130101,017348,001,22,0,309.615173339844,1,Secundaria Incompleta,Mujer,42,Vulnerable No Pobre
Costa Norte,130101,017348,001,22,0,309.615173339844,1,Secundaria Completa,Hombre,51,Vulnerable No Pobre
Costa Norte,130101,017348,001,22,0,309.615173339844,1,Secundaria Incompleta,Hombre,18,Vulnerable No Pobre
Costa Norte,130101,017348,064,11,0,309.615173339844,1,Superior No Universitaria Completa,Hombre,49,Pobre No Extremo
Costa Norte,130101,017348,064,11,0,309.615173339844,1,Superior Universitaria Incompleta,Mujer,20,Pobre No Extremo
Costa Norte,130101,017348,064,11,0,309.615173339844,0,Superior Universitaria Incompleta,Hombre,18,Pobre No Extremo
Costa Norte,130101,017348,064,11,0,309.615173339844,1,Superior No Universitaria Completa,Mujer,46,Pobre No Extremo
Costa Norte,130101,017348,064,11,0,309.615173339844,1,Superior No Universitaria Completa,Mujer,28,Pobre No Extremo
Costa Norte,130101,017348,107,11,0,309.615173339844,1,Secundaria Completa,Hombre,65,Vulnerable No Pobre
Costa Norte,130101,017348,107,11,0,309.615173339844,1,Secundaria Completa,Mujer,42,Vulnerable No Pobre
Costa Norte,130101,017348,107,11,0,309.615173339844,1,Secundaria Completa,Hombre,19,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,309.615173339844,0,Superior Universitaria Completa,Hombre,68,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,309.615173339844,1,Secundaria Completa,Mujer,63,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,309.615173339844,1,Secundaria Completa,Hombre,28,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,309.615173339844,1,Superior No Universitaria Incompleta,Mujer,39,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,309.615173339844,0,Secundaria Completa,Mujer,19,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,309.615173339844,1,Secundaria Completa,Mujer,32,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,0,Secundaria Incompleta,Hombre,81,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,0,Primaria Completa,Mujer,75,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,1,Superior Universitaria Incompleta,Hombre,56,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,1,Superior Universitaria Incompleta,Hombre,50,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,1,Primaria Completa,Mujer,33,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,1,Superior No Universitaria Completa,Mujer,22,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,324.376708984375,0,Secundaria Completa,Mujer,18,Vulnerable No Pobre
Costa Norte,130101,017357,079,12,0,324.376708984375,0,Superior No Universitaria Incompleta,Mujer,53,Vulnerable No Pobre
Costa Norte,130101,017357,079,12,0,324.376708984375,0,Primaria Incompleta,Hombre,90,Vulnerable No Pobre
Costa Norte,130101,017357,079,12,0,324.376708984375,0,Primaria Completa,Mujer,86,Vulnerable No Pobre
Costa Norte,130101,017359,056,11,0,715.713989257813,1,Secundaria Completa,Hombre,46,Pobre No Extremo
Costa Norte,130101,017359,056,11,0,715.713989257813,1,Primaria Completa,Mujer,46,Pobre No Extremo
Costa Norte,130101,017359,056,11,0,715.713989257813,0,Superior Universitaria Incompleta,Hombre,23,Pobre No Extremo
Costa Norte,130101,017359,107,11,0,715.713989257813,1,Primaria Completa,Hombre,50,Pobre No Extremo
Costa Norte,130101,017359,107,11,0,715.713989257813,0,Secundaria Incompleta,Mujer,38,Pobre No Extremo
Costa Norte,130101,017359,107,11,0,715.713989257813,0,Secundaria Incompleta,Hombre,21,Pobre No Extremo
Costa Norte,130101,017359,107,11,0,715.713989257813,1,Secundaria Completa,Hombre,19,Pobre No Extremo
Costa Norte,130101,017362,004,11,0,289.542297363281,1,Superior No Universitaria Completa,Hombre,48,Vulnerable No Pobre
Costa Norte,130101,017362,004,11,0,289.542297363281,1,Superior Universitaria Completa,Mujer,55,Vulnerable No Pobre
Costa Norte,130101,017362,004,11,0,289.542297363281,1,Superior Universitaria Completa,Hombre,27,Vulnerable No Pobre
Costa Norte,130101,017362,004,11,0,289.542297363281,1,Maestría/Doctorado,Mujer,24,Vulnerable No Pobre
Costa Norte,130101,017363,002,11,0,58.8208084106445,1,Secundaria Completa,Mujer,69,Pobre No Extremo
Costa Norte,130101,017363,002,11,0,58.8208084106445,1,Superior No Universitaria Incompleta,Mujer,37,Pobre No Extremo
Costa Norte,130101,017363,002,11,0,58.8208084106445,0,Secundaria Completa,Mujer,34,Pobre No Extremo
Costa Norte,130101,017365,079,11,0,570.074829101563,1,Superior No Universitaria Incompleta,Hombre,65,Vulnerable No Pobre
Costa Norte,130101,017365,079,11,0,570.074829101563,0,Superior No Universitaria Completa,Mujer,62,Vulnerable No Pobre
Costa Norte,130101,017365,079,11,0,570.074829101563,1,Superior Universitaria Incompleta,Hombre,24,Vulnerable No Pobre
Costa Norte,130101,017365,079,11,0,570.074829101563,1,Superior Universitaria Completa,Mujer,39,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,0,64.8034973144531,1,Superior Universitaria Completa,Hombre,50,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,0,64.8034973144531,0,Superior Universitaria Completa,Mujer,52,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,0,64.8034973144531,0,Superior Universitaria Completa,Hombre,30,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,0,64.8034973144531,1,Superior Universitaria Completa,Mujer,28,Vulnerable No Pobre
Costa Norte,130101,017374,006,11,0,289.542297363281,1,Secundaria Incompleta,Hombre,75,Vulnerable No Pobre
Costa Norte,130101,017374,006,11,0,289.542297363281,0,Secundaria Incompleta,Mujer,74,Vulnerable No Pobre
Costa Norte,130101,017374,006,11,0,289.542297363281,1,Secundaria Completa,Mujer,44,Vulnerable No Pobre
Costa Norte,130101,017374,085,11,0,289.542297363281,0,Secundaria Incompleta,Mujer,74,Pobre No Extremo
Costa Norte,130101,017374,085,11,0,289.542297363281,1,Superior Universitaria Incompleta,Hombre,46,Pobre No Extremo
Costa Norte,130101,017375,002,11,0,536.785461425781,0,Primaria Incompleta,Mujer,86,Vulnerable No Pobre
Costa Norte,130101,017375,002,11,0,536.785461425781,0,Secundaria Completa,Mujer,57,Vulnerable No Pobre
Costa Norte,130101,017375,002,11,0,536.785461425781,0,Primaria Incompleta,Mujer,32,Vulnerable No Pobre
Costa Norte,130101,017380,041,11,0,70.1957244873047,0,Superior No Universitaria Completa,Mujer,60,Vulnerable No Pobre
Costa Norte,130101,017380,041,11,0,70.1957244873047,1,Secundaria Completa,Mujer,58,Vulnerable No Pobre
Costa Norte,130101,017380,041,11,0,70.1957244873047,0,Secundaria Completa,Hombre,45,Vulnerable No Pobre
Costa Norte,130101,017383,168,11,0,557.468383789063,1,Secundaria Completa,Hombre,37,Vulnerable No Pobre
Costa Norte,130101,017383,168,11,0,557.468383789063,1,Secundaria Completa,Mujer,39,Vulnerable No Pobre
Costa Norte,130101,017392,310,11,0,70.1957244873047,1,Secundaria Completa,Hombre,57,Pobre No Extremo
Costa Norte,130101,017392,310,11,0,70.1957244873047,1,Superior No Universitaria Incompleta,Mujer,61,Pobre No Extremo
Costa Norte,130101,017392,310,11,0,70.1957244873047,0,Superior Universitaria Completa,Hombre,27,Pobre No Extremo
Costa Norte,130101,017392,310,11,0,70.1957244873047,0,Sin Nivel,Mujer,80,Pobre No Extremo
Costa Norte,130101,017399,057,11,0,294.005889892578,1,Secundaria Completa,Mujer,64,Pobre No Extremo
Costa Norte,130101,017399,057,11,0,294.005889892578,0,Primaria Incompleta,Hombre,69,Pobre No Extremo
Costa Norte,130101,017399,057,11,0,294.005889892578,1,Primaria Completa,Hombre,58,Pobre No Extremo
Costa Norte,130101,017417,082,11,0,324.376708984375,0,Secundaria Incompleta,Hombre,67,Vulnerable No Pobre
Costa Norte,130101,017417,082,11,0,324.376708984375,1,Secundaria Incompleta,Mujer,65,Vulnerable No Pobre
Costa Norte,130101,017428,128,11,0,557.468383789063,1,Superior No Universitaria Completa,Hombre,38,Vulnerable No Pobre
Costa Norte,130101,017428,128,11,0,557.468383789063,1,Superior Universitaria Incompleta,Mujer,41,Vulnerable No Pobre
Costa Norte,130101,017428,145,11,0,557.468383789063,1,Superior No Universitaria Completa,Mujer,51,Vulnerable No Pobre
Costa Norte,130101,017428,145,11,0,557.468383789063,0,Superior Universitaria Incompleta,Hombre,21,Vulnerable No Pobre
Costa Norte,130101,017428,145,11,0,557.468383789063,0,Secundaria Completa,Hombre,19,Vulnerable No Pobre
Costa Norte,130102,017332,021,11,0,471.747924804688,1,Secundaria Completa,Hombre,23,Pobre No Extremo
Costa Norte,130102,017332,021,11,0,471.747924804688,0,Superior No Universitaria Completa,Mujer,24,Pobre No Extremo
Costa Norte,130102,017332,059,11,0,471.747924804688,1,Primaria Completa,Mujer,59,Pobre No Extremo
Costa Norte,130102,017332,059,11,0,471.747924804688,1,Superior No Universitaria Completa,Mujer,31,Pobre No Extremo
Costa Norte,130102,017332,078,11,0,471.747924804688,1,Primaria Completa,Hombre,57,Pobre Extremo
Costa Norte,130102,017332,078,11,0,471.747924804688,1,Secundaria Completa,Hombre,28,Pobre Extremo
Costa Norte,130102,017332,078,11,0,471.747924804688,0,Secundaria Incompleta,Mujer,28,Pobre Extremo
Costa Norte,130102,017332,096,11,0,471.747924804688,1,Primaria Incompleta,Mujer,41,Pobre No Extremo
Costa Norte,130102,017332,096,11,0,471.747924804688,1,Secundaria Completa,Hombre,49,Pobre No Extremo
Costa Norte,130102,017332,096,11,0,471.747924804688,0,Secundaria Completa,Mujer,20,Pobre No Extremo
Costa Norte,130102,017332,117,11,0,471.747924804688,0,Primaria Incompleta,Hombre,78,Pobre No Extremo
Costa Norte,130102,017332,117,11,0,471.747924804688,1,Sin Nivel,Mujer,70,Pobre No Extremo
Costa Norte,130102,017332,117,11,0,471.747924804688,1,Secundaria Completa,Mujer,45,Pobre No Extremo
Costa Norte,130102,017332,117,11,0,471.747924804688,1,Primaria Completa,Hombre,48,Pobre No Extremo
Costa Norte,130102,017334,009,11,0,471.747924804688,1,Primaria Incompleta,Hombre,41,Pobre No Extremo
Costa Norte,130102,017334,009,11,0,471.747924804688,0,Superior Universitaria Incompleta,Mujer,29,Pobre No Extremo
Costa Norte,130102,017334,022,11,0,471.747924804688,0,Primaria Completa,Mujer,36,Pobre No Extremo
Costa Norte,130102,017334,105,11,0,471.747924804688,1,Primaria Incompleta,Hombre,47,Vulnerable No Pobre
Costa Norte,130102,017334,105,11,0,471.747924804688,0,Primaria Incompleta,Mujer,48,Vulnerable No Pobre
Costa Norte,130102,017334,105,11,0,471.747924804688,1,Secundaria Incompleta,Hombre,18,Vulnerable No Pobre
Costa Norte,130102,017334,105,11,0,471.747924804688,1,Secundaria Incompleta,Mujer,24,Vulnerable No Pobre
Costa Norte,130102,017339,002,11,0,57.8235206604004,1,Superior No Universitaria Incompleta,Mujer,33,Pobre No Extremo
Costa Norte,130102,017343,028,11,0,481.272064208984,0,Primaria Incompleta,Hombre,51,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,0,481.272064208984,0,Primaria Incompleta,Mujer,51,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,0,481.272064208984,1,Secundaria Completa,Hombre,22,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,0,481.272064208984,1,Secundaria Completa,Hombre,18,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,0,481.272064208984,1,Secundaria Completa,Mujer,25,Vulnerable No Pobre
Costa Norte,130102,017343,065,11,0,481.272064208984,0,Superior No Universitaria Incompleta,Mujer,30,Vulnerable No Pobre
Costa Norte,130102,017343,100,11,0,481.272064208984,1,Primaria Incompleta,Mujer,48,Vulnerable No Pobre
Costa Norte,130102,017343,100,11,0,481.272064208984,0,Primaria Incompleta,Hombre,52,Vulnerable No Pobre
Costa Norte,130102,017350,018,11,0,481.272064208984,0,Sin Nivel,Mujer,52,Pobre Extremo
Costa Norte,130102,017350,018,11,0,481.272064208984,1,Secundaria Completa,Hombre,30,Pobre Extremo
Costa Norte,130102,017350,037,11,0,481.272064208984,1,Primaria Completa,Hombre,48,Pobre No Extremo
Costa Norte,130102,017350,037,11,0,481.272064208984,0,Primaria Incompleta,Mujer,29,Pobre No Extremo
Costa Norte,130102,017350,074,11,0,481.272064208984,1,Secundaria Completa,Hombre,34,Vulnerable No Pobre
Costa Norte,130102,017350,074,11,0,481.272064208984,1,Secundaria Completa,Mujer,62,Vulnerable No Pobre
Costa Norte,130102,017350,093,11,0,481.272064208984,1,Superior No Universitaria Completa,Hombre,43,Vulnerable No Pobre
Costa Norte,130102,017352,006,11,0,441.429260253906,1,Primaria Completa,Hombre,44,Pobre No Extremo
Costa Norte,130102,017352,006,11,0,441.429260253906,0,Sin Nivel,Mujer,36,Pobre No Extremo
Costa Norte,130102,017352,006,11,0,441.429260253906,0,Secundaria Completa,Mujer,20,Pobre No Extremo
Costa Norte,130102,017352,029,11,0,441.429260253906,1,Primaria Completa,Mujer,48,Vulnerable No Pobre
Costa Norte,130102,017352,062,11,0,441.429260253906,1,Primaria Completa,Mujer,47,Pobre No Extremo
Costa Norte,130102,017352,062,11,0,441.429260253906,1,Primaria Completa,Hombre,50,Pobre No Extremo
Costa Norte,130102,017352,062,11,0,441.429260253906,0,Secundaria Incompleta,Hombre,21,Pobre No Extremo
Costa Norte,130102,017352,062,11,0,441.429260253906,1,Primaria Completa,Hombre,24,Pobre No Extremo
Costa Norte,130102,017352,062,11,0,441.429260253906,0,Secundaria Incompleta,Mujer,27,Pobre No Extremo
Costa Norte,130102,017352,080,11,0,441.429260253906,0,Primaria Completa,Hombre,38,Vulnerable No Pobre
Costa Norte,130102,017352,080,11,0,441.429260253906,1,Secundaria Completa,Mujer,38,Vulnerable No Pobre
Costa Norte,130102,017352,080,11,0,441.429260253906,1,Secundaria Incompleta,Mujer,20,Vulnerable No Pobre
Costa Norte,130102,017352,097,11,0,441.429260253906,1,Primaria Completa,Hombre,51,Vulnerable No Pobre
Costa Norte,130102,017352,097,11,0,441.429260253906,1,Sin Nivel,Mujer,53,Vulnerable No Pobre
Costa Norte,130102,017352,097,11,0,441.429260253906,0,Secundaria Completa,Hombre,20,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,0,441.429260253906,1,Primaria Incompleta,Mujer,60,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,0,441.429260253906,1,Superior Universitaria Completa,Mujer,31,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,0,441.429260253906,1,Superior Universitaria Incompleta,Mujer,27,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,0,441.429260253906,0,Secundaria Completa,Mujer,24,Vulnerable No Pobre
Costa Norte,130102,017360,018,11,0,760.099792480469,1,Secundaria Completa,Hombre,49,Vulnerable No Pobre
Costa Norte,130102,017360,018,11,0,760.099792480469,0,Superior No Universitaria Incompleta,Mujer,44,Vulnerable No Pobre
Costa Norte,130102,017360,018,11,0,760.099792480469,1,Superior No Universitaria Completa,Mujer,23,Vulnerable No Pobre
Costa Norte,130102,017360,075,23,0,760.099792480469,1,Superior Universitaria Incompleta,Hombre,31,Pobre No Extremo
Costa Norte,130102,017360,075,23,0,760.099792480469,0,Secundaria Completa,Mujer,29,Pobre No Extremo
Costa Norte,130102,017360,115,11,0,760.099792480469,0,Primaria Incompleta,Mujer,76,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,760.099792480469,0,Primaria Incompleta,Hombre,77,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,760.099792480469,1,Secundaria Completa,Hombre,51,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,760.099792480469,1,Secundaria Completa,Hombre,23,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,760.099792480469,0,Secundaria Incompleta,Hombre,43,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,760.099792480469,1,Secundaria Incompleta,Hombre,41,Vulnerable No Pobre
Costa Norte,130102,017360,133,11,0,760.099792480469,1,Superior No Universitaria Completa,Mujer,56,Vulnerable No Pobre
Costa Norte,130102,017360,133,11,0,760.099792480469,1,Secundaria Completa,Hombre,19,Vulnerable No Pobre
Costa Norte,130102,017360,133,11,0,760.099792480469,0,Primaria Completa,Hombre,84,Vulnerable No Pobre
Costa Norte,130102,017361,003,11,0,441.429290771484,1,Superior No Universitaria Incompleta,Hombre,55,Vulnerable No Pobre
